"ID","Joke"
1,"[me narrating a documentary about narrators] ""I can't hear what they're saying cuz I'm talking"""
2,"Telling my daughter garlic is good for you. Good immune system and keeps pests away.Ticks, mosquitos, vampires... men."
3,"I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper."
4,"If I could have dinner with anyone, dead or alive... ...I would choose alive. -B.J. Novak-"
5,"Two guys walk into a bar. The third guy ducks."
6,"Why can't Barbie get pregnant? Because Ken comes in a different box. Heyooooooo"
7,"Why was the musician arrested? He got in treble."
8,"Did you hear about the guy who blew his entire lottery winnings on a limousine? He had nothing left to chauffeur it."
9,"What do you do if a bird shits on your car? Don't ask her out again."
10,"He was a real gentlemen and always opened the fridge door for me"
11,"Telling my daugthers date that ""she has lice and its very contagious the closer you get to her."" *Correct way to parent."
12,"What should you do before criticizing Pac-Man? WAKA WAKA WAKA mile in his shoes"
13,"What's the difference between an illegal Mexican and an autonomous robot...? Nothing... they were both made to steal American jobs."
14,"What do you call a barbarian you can't see? an Invisigoth."
15,"How do you spell Canda? C,eh,N,eh,D,eh"
16,"You ever notice that the most dangerous thing about marijuana is getting caught with it?"
17,"What did Arnold Schwarzenegger say at the abortion clinic? Hasta last vista, baby."
18,"My wife is in a bad mood. I think her boyfriend forgot their anniversary. Way to go, dude. Now we all suffer..."
19,"My speech today will be like a mini-skirt. Long enough to cover the essentials but short enough to hold your attention!"
20,"Thanksgiving joke What does Miley Cyrus eat for Thanksgiving? Twerky! Just kidding... Drugs. She eats drugs. -Adam Zopf @adamzopf"
21,"Why do you never see elephants hiding in trees? 'Cause they are freaking good at it"
22,"How did the blonde die raking leaves? She fell out of the tree."
23,"""That guy is such a douche-bag! Is he single? Maybe I can fix him!""  women"
24,"My son just got a tattoo of a heart, a spade, a club, and a diamond, all without my permission. I guess I'll deal with him later."
25,"What do you call a potato in space? Spudnik"
26,"How to get a cop's attention"
27,"What happens to a necrophiliac after death? Reserection"
28,"Why did the chicken hold a seance? To get to the other side."
29,"Where do baby cows go to eat lunch? At the calf-eteria."
30,"What's the difference between a painting and Jesus. You only require one nail to put up the painting."
31,"Mom: ""Do you want this?"" Me: ""No."" Mom: ""Ok I'll give it to your brother."" Me: ""No I want it."""
32,"How do you fit 4 gays on one barstool? Flip it over!"
33,"I am looking forward to 6pm Thanksgiving Day when Walmart opens its doors for its annual sale of trampled human corpses."
34,"Yttrium-barium-copper oxide walks into a bar The bartender tells him, ""We don't serve superconductors here."" He leaves without resistance."
35,"A guy pick up a woman Then he puts her down"
36,"Every night, I take all of the singles out of my wallet, spread them on the bed, and pretend I was pretty that day."
37,"Which gospel contains Jesus' parable about the shades of numbers? Math hue."
38,"Ibuprofen is my favorite headache medicine that also sounds like a reggae professor."
39,"Ted Cruz getting elected."
40,"Before I destroy a wasp's nest I like to capture a single wasp and tell it my entire diabolical plan."
41,"What's Al-Qaeda's favorite American football team? The New York jets."
42,"INTERVIEWER: Why do you want to work here? ME: *crumbs tumbling from my mouth* Oh, I don't. I was just walking by and saw you had donuts."
43,"Coming on valentines day. Fifty shades of grey. There won't be a dry seat in the cinema."
44,"Did you hear about the midget psychic who escaped from prison? He's a small medium at large."
45,"Someone didnt click the button in /r/thebutton Yeah... Thats a good joke , he impossible!"
46,"What's the difference between a car tyre, and 365 condoms? One's a Goodyear, an the other's a great year."
47,"Roses are red, Violets are blue. I have a gun. Get in the van."
48,"I've struggled for years to be above the influence... But I've never been able to get that high"
49,"With Facebook, you can stay in touch with people you would otherwise never talk to, but that's only one of the many awful things about it"
50,"What's the difference between a blonde and a washer? When you dump your load in a washer, it doesn't follow you around for a week."
51,"Have you ever heard of the movie ""Constipation""? No? Most likely because it never came out."
52,"What's black, blue and doesn't look too well? Stevie Wonder"
53,"I saw a French rifle on eBay today It's never been fired but I heard it was dropped once."
54,"What did the car said to the valet? I've been through a lot."
55,"Bill Clinton must be the luckiest man in the world. All of the sex he has, with Hillary, you know it's hate sex."
56,"yeah girl.. shake that thing where poop comes out of. it really turns me on when your poop factory shakes faster than usual"
57,"""I can't stand when people say they hate both of the presidential candidates."" --Stephen Hawking"
58,"A Mexican fireman had twin boys He named them Jose and Hose B"
59,"I was drinking at the bar, so I took a bus home. That may not be a big deal to you, but I've never driven a bus before!"
60,"Donald Trump will ban the sale of shredded cheese He wants to make America grate again"
61,"Things have really turned around for me since I re-named my penis and testicles ""JD Power and Associates""."
62,"My sex face is the same as my first pee in three hours face."
63,"My cat just walked by me carrying a toy mouse I don't remember buying her. Women be shoppin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
64,"Why did the Xbox owner cross the road? To fuck your mom."
65,"Sometimes you check the amount of subscribed people. When you do this, there are 4,111,093,0003.666 ""humorists"". 2/3rds of a person? Really?"
66,"I don't believe in Bigfoot; because he never believed in me. I'd scan the crowd at my ballet recitals, and always see that one empty seat."
67,"What did the porn actress say when she opened the door? Make sure to come upstairs."
68,"I don't judge people based on color, race, religion, sexuality, or gender...I base it on whether or not they're an asshole."
69,"Why were the baker's hands brown? Because he kneaded a poo."
70,"Not to get too technical, but chemistry says alcohol IS a solution. So I win."
71,"I often think if I'd taken a different path in life, I could be lying on a slightly more comfortable sofa right now."
72,"I'm terrible at telling jokes... I always punch up the fuck lines"
73,"What did the hillbilly say to his sister after she asked him to have sex with her? If you incest."
74,"""You know what, we need a huge spoon to take care of this"" -Guy who invented shovels"
75,"How to keep the flies off the bride at an Italian wedding Keep a bucket of shit next to her"
76,"What do grandparents smell like? ""Depends"""
77,"7% of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert."
78,"What do people from the 1930's and /r/news jokes have in common? They're both old."
79,"I like my slaves like I like my coffee Fair Trade."
80,"ME: I fell off a 50 ft tall ladder once GIRL: holy cow how did you survive ME: I fell off the bottom rung"
81,"What do you call a blind dinosaur? A do-think-he-saurus :) !! Lol What do you call a blind dinosaurs dog? A do-you-think-he-saurus-rex"
82,"I just bought a very tiny amphibian for a pet. It's my-newt!"
83,"This may be not be a mainstream opinion, but I don't believe you should cut down a Christmas tree unless you intend on eating it."
